0x804ff2b0 ZwWaitForMultipleObjects
0x8060110c WmipFindISInDSByGuid
0x8051e2ec MiInsertStandbyListAtFront
0x8055afc0 XIPlocatecnt
0x8054adc4 KiIdealDpcRate
0x80533884 ExUnregisterCallback
0x804d7c74 PARTITION_ENTRY_UNUSED_GUID
0x805ee4fa SeTokenImpersonationLevel
0x804f0312 IoBuildDeviceIoControlRequest
0x8060d268 NtQueryTimer
0x8055c620 ExpBootFinishedTimer
0x80503c98 MmUpdateMdlTracker
0x80596d0c KeInitializeProcess
0x8060cb26 NtSetSystemEnvironmentValueEx
0x804f77c8 KiAttachProcess
0x80660590 KdpSysReadIoSpace
0x8054ffc5 IopRemoteBootCardInitialized
0x8051b6fe MiGetSystemPteAvailability
0x805ded22 RtlComputeLfnChecksum
0x805511c0 Square2
0x8064f614 VerifierKfLowerIrql
0x8065e8e4 KdpSearchPhysicalPage
0x804f39aa IopVerifyDeviceObjectOnStack
0x80588da2 IopQueryRemoveLockedDeviceNode
0x804f0c2a IoCsqInsertIrp
0x8069570c MiInitializeMemoryEvents
0x8061decc CmpInitializeHiveList
0x8051b676 MmAllocateSpecialPool
0x80661606 MiExpandSpecialPool
0x8063da93 OpcodeGenericPrefixV86
0x805e75a4 SepAdtOpenObjectForDeleteAuditAlarm
0x80677ef0 InstrCountInternal
0x805bbe42 PoRequestShutdownEvent
0x80587db6 IopIncDisableableDepends
0x8059d882 MmAllocateNonCachedMemory
0x8054b4f8 KiReadyQueueIndex
0x80553d98 MmTriageActionTaken
0x805c736a NtCreateProcessEx
0x806709a0 ExpShuttingDown
0x804d8704 GUID_DEVINTERFACE_FLOPPY
0x8061c5ea CmpConfigureProcessors
0x8052a2e4 RtlEnumerateGenericTableWithoutSplayingAvl
0x80529b2c RtlInsertElementGenericTableFull
0x80658c60 VfPnpVerifyNewRequest
0x8062ac94 CmpSearchForOpenSubKeys
0x8054ffc8 IovpCancelCount
0x805597d4 ObpSymbolicLinkObjectType
0x80523b64 PopRunDownSourceTargetList
0x80610c52 FindFileInfo
0x804f43fe IopGetDevicePDO
0x80552ee0 KiGenericCallDpcMutex
0x8066f8fc IoLoaderArcBootDeviceName
0x805d01dc RtlUpcaseUnicodeToOemN
0x80558190 MiDeadPteTrackerSListHead
0x80657f70 VfGenericVerifyFinalIrpStack
0x80553c5c MiSpecialPoolLastPte
0x8053bda8 IovUtilRelateDeviceObjects
0x8052eaae SeMakeAnonymousLogonTokenNoEveryone
0x8063f406 xHalSetWakeAlarm
0x80670f08 IopQueryOperationAccess
0x806950e4 MiFindInitializationCode
0x805ee008 SeCheckPrivilegedObject
0x8056ae1c IopCreateFile
0x80519c52 MmAttachSession
0x8066269e HdlspAddLogEntry
0x805e8f30 SeAuditProcessExit
0x805011d6 KeSetAutoAlignmentProcess
0x805587f0 MmSizeOfNonPagedPoolInBytes
0x804e60c8 CcWorkerThread
0x80568ca6 IoCreateStreamFileObjectLite
0x806705d4 SeEnableDelegationPrivilege
0x805381a7 strtol
0x8055c5fc PoolTrackTableSize
0x805ce2ea RawFileSystemControl
0x8055b0b8 ExpAdditionalDelayedWorkerThreads
0x8054ad1c CcDeferredWriteSpinLock
0x8063c9fe OpcodeInvalid
0x8060223a WmipFindSysIdTable
0x8052d57e RtlDispatchException
0x8054ca80 ObSystemDeviceMap
0x806aaf36 IopCacheNetbiosNameForIpAddress
0x80538625 _fload_withFB
0x8054ffd8 CcLostDelayedWrites
0x8063be70 PiInitializeDevice
0x804e2a2c CcUnpinRepinnedBcb
0x8051b5c2 MiCheckSingleFilter
0x805d4b44 RtlpDestroyUnCommittedRange
0x804e95cc FsRtlGetNextFileLock
0x806a16ee ExpWorkerInitialization
0x80601aca WmipRemoveDataSourceByDS
0x805bcfce PoShutdownBugCheck
0x8056915c IoDisconnectInterrupt
0x806728a0 WmiEventLoggerGuid
0x8050ddd2 MiDeletePteRange
0x8054b600 TunnelLookasideList
0x80537650 strncat
0x8055ec20 CcZeroData
0x804fb05e KeInitializeQueue
0x80534e86 ExpTimerApcRoutine
0x805587f4 MmTrackLockedPages
0x805197f0 MiSessionCommitPageTables
0x805f8708 WmipSendEnableDisableRequest
0x804d9228 MMSECT
0x806a47c6 CmpIsLoadType
0x8064d3be ExGetNextWakeTime
0x80568a1c IoCheckShareAccess
0x80553c80 MmSpecialPoolRejected
0x805d4c7c RtlpFindAndCommitPages
0x805e8626 SepAdtCloseObjectAuditAlarm
0x8052a38a RtlInsertElementGenericTableAvl
0x80670ae8 CmRegistryMachineHardwareDeviceMapName
0x80558720 MmSectionCommitMutex
0x8056c222 NtQueryFullAttributesFile
0x8054a484 ViTrimSpaces
0x8054a998 ViVerifyMode
0x80611e27 SdbpVerQueryValue
0x806a77e2 CmpMatchPointerRule
0x8065bf8c ObvUtilStartObRefMonitoring
0x80550018 CcPinReadNoWaitMiss
0x804ff828 NtCallbackReturn
0x8066fb28 PsDefaultThreadLocaleId
0x8053e034 CommonDispatchException
0x8060f216 SdbpReadMappedData
0x80578db8 IopDeleteFile
0x805bbe78 PoQueueShutdownWorkItem
0x80524dac PopProcessorInformation
0x80683550 ViMessageClassFailDriverLogo
0x8055a1e0 PsJobType
0x805cac22 NtResumeThread
0x806728e0 HardFaultGuid
0x806472ce PopIOWrite
0x805b8462 ObKillProcess
0x8066f968 IopSetupNotifyData
0x804e532c CcSetFileSizes
0x80614e8c CcPfIsVolumeMounted
0x8065b648 IovUtilInit
0x80594f5c IopAllocateRelationList
0x806a8b5e CmpSearchInfSection
0x80553d20 MmPoolFailures
0x804faea8 KeInitializeMutex
0x8066f974 IopDeferredRegistrationList
0x80573b86 IopRaiseInformationalHardError
0x8056851a IoCreateDisk
0x8054ffa4 CmpSystemHiveHysteresisCallback
0x80553af8 MxPfnAllocation
0x805af3b0 MiSessionRemoveImage
0x80641386 MmGetPhysicalMemoryRanges
0x8054bb00 FsRtlLockTreeNodeLookasideList
0x8054c430 Kd_RTLTHREADPOOL_Mask
0x8059dae4 MiInsertBasedSection
0x8068d586 PnPBiosIoResourceListToCmResourceList
0x8054adb8 KiMaximumDpcQueueDepth
0x804fdf3c ZwCancelDeviceWakeupRequest
0x80670b48 CmRegistryMachineSystemCurrentControlSetControlBootLog
0x80671cc8 PopApmActiveFlag
0x8061375c ArbFindSuitableRange
0x805be456 NtRequestDeviceWakeup
0x804fafc4 KeRundownQueue
0x80671bf0 PopCompositeBatteryName
0x804f3524 IopCheckHardErrorEmpty
0x8054a0cc MmWorkingSetSizeExpansion
0x806775c0 InitialSP
0x8055aa80 WmipSMMutex
0x80558300 MiVerifyAllDrivers
0x805b1ff2 ObpChargeQuotaForObject
0x8055a160 PspActiveProcessMutex
0x8058c462 IopResourceRequirementsListToReqList
0x8066fb54 PspSystemDll
0x8065d79c ObPerfHandleTableWalk
0x80672018 RtlDecompressFragmentProcs
0x80552d00 KiAbiosGdt
0x804eeff2 IopStartNextPacket
0x8066fd84 NlsAnsiToUnicodeData
0x80536516 atoi
0x804eeb0c IoPageRead
0x80539e30 __ascii_memicmp
0x804fbe80 KeTerminateThread
0x80596d8e KeInitializeEventPair
0x8064e6b4 VerifierKeAcquireSpinLockAtDpcLevel
0x80551bc0 IopRootBusNumberArbiter
0x804d8724 GUID_DEVINTERFACE_STORAGEPORT
0x80536491 atol
0x80630d14 HvWriteHive
0x8050222c NtYieldExecution
0x805db26a RtlpCompareAces
0x804d8244 GUID_IO_DEVICE_BECOMING_READY
0x804d76e0 _imp__HalAllocateCrashDumpRegisters
0x806703f0 SeBatchSid
0x8064e052 VerifierUnlockPages
0x804f4202 IopErrorLogRequeueEntry
0x8063c7f6 PpPagePathAssign
0x805229a2 ObDereferenceObjectEx
0x8064e3e2 ViCancelPoolAllocation
0x80659d74 VfUtilIsMemoryRangeReadable
0x80568be4 IopCreateVpb
0x804fcd5a xKdCheckPowerButton
0x80527f58 WRITE_REGISTER_USHORT
0x8064ebe0 ViInsertVerifierEntry
0x805425c8 RtlLargeIntegerSubtract
0x80670b80 CmpMachineHiveList
0x804e681e ReferenceVacbLevel
0x805f2212 VdmpStartExecution
0x80564870 FsRtlNotifyCleanup
0x805c0542 PopDispatchAcDcCallback
0x804f0036 IoAsynchronousPageWrite
0x8055a904 ViSearchedNodesLimitFromRegistry
0x805c7420 NtCreateProcess
0x804fdd98 ZwAcceptConnectPort
0x8062a0fc CmpFlushNotifiesOnKeyBodyList
0x804fa688 KiI386CallAbios
0x8054ae40 __security_cookie
0x8063ac4e PiQueueDeviceRequest
0x80648384 PopEndCompressedPageSet
0x8058565c PipGetRegistrySecurityWithFallback
0x805c009a PopCalculatePerfIncreaseDecreaseTime
0x80531804 WmiTraceMessage
0x805bb6c0 ObSetDirectoryDeviceMap
0x8054ad98 IopLookasideIrpFloat
0x8055a948 WmipSysId1394Count
0x80654782 VerifierIoFreeIrp
0x8059cf0e MiUnmapSinglePage
0x805abf40 NtLockVirtualMemory
0x804fcd5a __security_check_cookie
0x80672fe0 CmpRegistryMachineSystemString
0x805e995e SeAuditingHardLinkEventsWithContext
0x80550020 CcPinReadNoWait
0x805598a0 PopUnlockComplete
0x80553b10 MiAvailablePagesEventLowSets
0x804f7e2e KeDeregisterBugCheckCallback
0x805426e4 __InterlockedCompareExchange
0x8054aa20 WmipDSChunkInfo
0x805e5716 SepUpdateParentTypeList
0x8050a6c6 MiExtendPagingFileMaximum
0x804dc500 ExpProtectedPoolBlockMessage
0x804d8334 GUID_TARGET_DEVICE_REMOVE_COMPLETE
0x8062a79e CmpInitializeCache
0x805290e2 RtlFindLeastSignificantBit
0x804eb1ce FsRtlAllocatePoolWithQuota
0x80551f30 PiEnumerationLock
0x8054ca00 ObpCreateInfoLookasideList
0x806a482c CmpDoSort
0x80558918 MmDynamicPfn
0x8054a4ec MmUserProtectionToMask2
0x80617022 CcPfPrefetchScenario
0x805918cc IopTranslatorHandlerCm
0x80567160 FstubGetDiskGeometry
0x806389aa NtCreateDebugObject
0x805ddf20 RtlDecompressFragment
0x804e6398 CcPrefillVacbLevelZone
0x8054092c Dr_kit11_a
0x8065d76c ObPerfDumpHandleEntry
0x8062fa9e CmpSyncKeyValues
0x804d7658 _imp__HalReturnToFirmware
0x80610345 SdbpGetFileDirectoryAttributesNT
0x806a7df2 CmpFindRSDTTable
0x80553ca0 MiSpecialPoolExtra
0x804eeb6e IopCheckHardErrorsDisabled
0x804e43d4 CcCancelMmWaitForUninitializeCacheMap
0x805f1964 VdmFetchBop1
0x805ff60e WmipISCleanup
0x806a8eb6 CmpParseInfBuffer
0x80558568 MmFreePagingSpaceLow
0x804fc04c KiSegSsFromTrapFrame
0x806711dc IopWstrReservedResources
0x8062e0cc HvpDelistFreeCell
0x80683580 ViMessageIoVerifierOverrides
0x804efa90 IoIsFileOriginRemote
0x805f1898 VdmFetchBop4
0x8060c2b4 NtDeleteAtom
0x804eadea FsRtlFastUnlockAll
0x805d20fa RtlInsertUnicodePrefix
0x805ba660 ObQueryNameString
0x80553e98 MmProductType
0x805d6d88 RtlFreeHeapSlowly
0x804feb1c ZwQuerySystemInformation
0x8054c3bc Kd_TAPE_Mask
0x8054a510 MiMaximumWslesPerSweep
0x8065c3aa WmipIsLoggerOn
